headline,link
"Greenlanders fear for future as island embroiled in geopolitical stormIslanders want a bigger say in their ties with Denmark, but also on the world stage too.6 hrs agoWorld",https://www.bbc.com/news/articles/cgrd2e7p9reo
Australia,https://www.bbc.com/news/world/australia
Musk says X outcry is 'excuse for censorship',https://www.bbc.com/news/articles/ce3kqzepp5zo
'An attack on women's dignity': Walls whitewashed after silhouettes defaced in Indian cityThe brightly coloured murals in Gwalior in Madhya Pradesh state were part of a project to beautify the city.11 hrs agoAsia,https://www.bbc.com/news/articles/ckgl8x03lzpo
"Trump seeks $100bn for Venezuela oil, but Exxon boss says country 'uninvestable'",https://www.bbc.com/news/articles/c205dx61x76o
N. Ireland,https://www.bbc.com/news/northern_ireland
O'Sullivan withdraws from Masters for medical reasons,https://www.bbc.com/sport/snooker/articles/cd7zv3j9jppo
"South Africa's strained ties with US face new test - war games with China, Iran and RussiaThe naval exercises could inflame relations with Donald Trump - who is already at loggerheads with Pretoria.12 hrs agoWorld",https://www.bbc.com/news/articles/c62wxezynk2o
Middle East,https://www.bbc.com/news/world/middle_east
Rescuers race to find dozens missing after deadly landfill collapse in PhilippinesThe landslide happened when a mountain of rubbish collapsed at a landfill site in the central Philippines.39 mins agoAsia,https://www.bbc.com/news/articles/cn42jqlqy4xo
Doctors said I might not make my second birthday with muscle disease SMA. Now I'm 25,https://www.bbc.com/news/articles/czejd4jny74o
US & Canada,https://www.bbc.com/news/us-canada
"Trump seeks $100bn for Venezuela oil, but Exxon boss says country 'uninvestable'Oil executives expressed caution, with one executive saying Venezuela had seized their assets twice.12 hrs agoBusiness",https://www.bbc.com/news/articles/c205dx61x76o
Entertainment News,https://www.bbc.com/culture/entertainment-news
'Reputation on the line': Swiss question government after ski resort fire,https://www.bbc.com/news/articles/cpwnd22lj54o
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Romance and parenthood feel remote in Ukraine: 'I haven't had a date since before the war'Tumbling marriage and birth rates are shaping the future of a country whose population was already falling.12 hrs agoEurope,https://www.bbc.com/news/articles/c9qp4wyzvlzo
Why are there huge protests going on in Iran?,https://www.bbc.com/news/videos/cje1v852evlo
"Trump's grand plan to reshape the world order leaves Europe with a difficult choice to makeThe turbocharged events of the last week - and the new US National Security Strategy - raise pressing questions about the new world order, and what it means for Europe20 hrs agoBBC InDepth",https://www.bbc.com/news/articles/c041n3ng03no
EU reaches South America trade deal after 25 years of talks,https://www.bbc.com/news/articles/ceqzj49gny4o
BBC InDepth,https://www.bbc.com/news/bbcindepth
ICE agent in Minnesota shooting was dragged by car in June,https://www.bbc.com/news/articles/cdx4qd4d16no
"Wrexham's story 'written in the stars, literally'Wrexham's remarkable rise continues as they knock Premier League side Nottingham Forest out of the FA Cup in dramatic fashion.12 hrs agoWrexham",https://www.bbc.com/sport/football/articles/cj0nz85nplpo
Rescuers race to find dozens missing after deadly landfill collapse in Philippines,https://www.bbc.com/news/articles/cn42jqlqy4xo
'An attack on women's dignity': Walls whitewashed after silhouettes defaced in Indian city,https://www.bbc.com/news/articles/ckgl8x03lzpo
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
Australian teens describe impact of social media ban - one month on,https://www.bbc.com/news/articles/c0mpmgn3jv2o
Why are there huge protests going on?Anti-government protests in Iran have continued for the 13th consecutive day.19 hrs agoMiddle East,https://www.bbc.com/news/videos/cje1v852evlo
Video emerges of Minneapolis shooting filmed by ICE agent who opened fire,https://www.bbc.com/news/articles/cz7yv4524gqo
"Wrexham's story 'written in the stars, literally'",https://www.bbc.com/sport/football/articles/cj0nz85nplpo
LIVEFA Cup third round: Watch Macclesfield v Crystal Palace & follow build-up to 18 tiesWatch Macclesfield v Crystal Palace and follow build-up to 18 FA Cup third-round ties on Saturday.,https://www.bbc.com/sport/football/live/cvg8m2rmldjt
'Reputation on the line': Swiss question government after ski resort fireThe New Year's Eve fire at a bar in Crans-Montana killed 40 people and injured 116.6 hrs agoEurope,https://www.bbc.com/news/articles/cpwnd22lj54o
UK Politics,https://www.bbc.com/news/politics
Art & Design,https://www.bbc.com/culture/art
"South Africa's strained ties with US face new test - war games with China, Iran and Russia",https://www.bbc.com/news/articles/c62wxezynk2o
"Night of Swiss ski bar fire 'apocalyptic', woman tells Crans-Montana memorial",https://www.bbc.com/news/articles/cn7jxm7jkg1o
Latin America,https://www.bbc.com/news/world/latin_america
"US seizes fifth oil tanker linked to Venezuela, officials say",https://www.bbc.com/news/articles/cdxj28xd542o
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Trump's grand plan to reshape the world order leaves Europe with a difficult choice to make,https://www.bbc.com/news/articles/c041n3ng03no
In Pictures,https://www.bbc.com/news/in_pictures
Film & TV,https://www.bbc.com/culture/film-tv
